index  confidence   rules
 147   0.750        ['butter', 'root vegetables', 'napkins']=>['whole milk']
 148   0.750        ['pork', 'hamburger meat', 'other vegetables']=>['whole milk']
 149   0.750        ['butter', 'napkins', 'other vegetables']=>['whole milk']
 150   0.750        ['other vegetables', 'yogurt', 'hygiene articles']=>['whole milk']
 151   0.750        ['domestic eggs', 'root vegetables', 'chicken']=>['whole milk']
 152   0.750        ['yogurt', 'waffles', 'root vegetables']=>['whole milk']
 153   0.750        ['onions', 'butter', 'root vegetables']=>['other vegetables']
 154   0.750        ['rice', 'root vegetables', 'whole milk']=>['other vegetables']
 155   0.750        ['processed cheese', 'root vegetables', 'whole milk']=>['other vegetables']
 156   0.750        ['rolls/buns', 'yogurt', 'long life bakery product']=>['whole milk']
 157   0.750        ['curd', 'tropical fruit', 'yogurt']=>['whole milk']
 158   0.750        ['domestic eggs', 'root vegetables', 'citrus fruit']=>['other vegetables']
 159   0.750        ['pip fruit', 'tropical fruit', 'yogurt', 'root vegetables']=>['whole milk']
 160   0.750        ['citrus fruit', 'root vegetables', 'whole milk', 'whipped/sour cream']=>['other vegetables']
 161   0.742        ['pip fruit', 'pork', 'whole milk']=>['other vegetables']
 162   0.742        ['tropical fruit', 'citrus fruit', 'whipped/sour cream']=>['whole milk']
 163   0.742        ['yogurt', 'root vegetables', 'whole milk', 'citrus fruit']=>['other vegetables']
 164   0.741        ['butter', 'soft cheese']=>['whole milk']
 165   0.741        ['sugar', 'cream cheese']=>['whole milk']
 166   0.741        ['domestic eggs', 'curd', 'yogurt']=>['whole milk']
 167   0.741        ['frankfurter', 'tropical fruit', 'root vegetables']=>['whole milk']
 168   0.739        ['curd', 'cat food']=>['whole milk']
 169   0.739        ['pip fruit', 'butter', 'yogurt']=>['whole milk']
 170   0.739        ['grapes', 'yogurt', 'whole milk']=>['other vegetables']
 171   0.739        ['butter milk', 'other vegetables', 'whipped/sour cream']=>['whole milk']
 172   0.739        ['domestic eggs', 'tropical fruit', 'butter']=>['other vegetables']
 173   0.739        ['domestic eggs', 'hamburger meat', 'other vegetables']=>['whole milk']
 174   0.739        ['tropical fruit', 'other vegetables', 'frozen meals']=>['whole milk']
 175   0.739        ['butter', 'white bread', 'whole milk']=>['other vegetables']
 176   0.739        ['butter', 'white bread', 'other vegetables']=>['whole milk']
 177   0.739        ['butter', 'citrus fruit', 'whipped/sour cream']=>['whole milk']
 178   0.739        ['rolls/buns', 'yogurt', 'bottled beer']=>['whole milk']
 179   0.739        ['baking powder', 'other vegetables', 'yogurt']=>['whole milk']
 180   0.739        ['tropical fruit', 'yogurt', 'root vegetables', 'whipped/sour cream']=>['other vegetables']
 181   0.739        ['pip fruit', 'root vegetables', 'whole milk', 'whipped/sour cream']=>['other vegetables']
 182   0.739        ['other vegetables', 'yogurt', 'citrus fruit', 'whipped/sour cream']=>['whole milk']
 183   0.735        ['curd', 'rolls/buns', 'yogurt']=>['whole milk']
 184   0.735        ['yogurt', 'root vegetables', 'fruit/vegetable juice']=>['whole milk']
 185   0.734        ['domestic eggs', 'curd']=>['whole milk']
 186   0.733        ['soft cheese', 'whipped/sour cream']=>['other vegetables']
 187   0.733        ['tropical fruit', 'root vegetables', 'whipped/sour cream']=>['other vegetables']
 188   0.733        ['curd', 'butter', 'other vegetables']=>['whole milk']
 189   0.733        ['tropical fruit', 'butter', 'yogurt']=>['whole milk']
 190   0.731        ['pip fruit', 'root vegetables', 'fruit/vegetable juice']=>['whole milk']
 191   0.731        ['tropical fruit', 'ham', 'other vegetables']=>['whole milk']
 192   0.730        ['tropical fruit', 'beef', 'root vegetables']=>['other vegetables']
 193   0.730        ['pip fruit', 'tropical fruit', 'whipped/sour cream']=>['other vegetables']
 194   0.727        ['oil', 'sugar']=>['whole milk']
 195   0.727        ['root vegetables', 'soft cheese']=>['other vegetables']
 196   0.727        ['pork', 'grapes']=>['other vegetables']
 197   0.727        ['frankfurter', 'berries']=>['whole milk']
 198   0.727        ['frozen vegetables', 'soft cheese']=>['other vegetables']
 199   0.727        ['bottled water', 'bottled beer', 'citrus fruit']=>['whole milk']
 200   0.727        ['pip fruit', 'bottled water', 'root vegetables']=>['whole milk']
 201   0.727        ['pip fruit', 'tropical fruit', 'hygiene articles']=>['whole milk']
 202   0.727        ['bottled water', 'butter', 'root vegetables']=>['whole milk']
 203   0.727        ['domestic eggs', 'yogurt', 'margarine']=>['whole milk']
 204   0.727        ['pork', 'sugar', 'other vegetables']=>['whole milk']
 205   0.727        ['domestic eggs', 'other vegetables', 'chicken']=>['whole milk']
 206   0.727        ['domestic eggs', 'bottled water', 'root vegetables']=>['other vegetables']
 207   0.727        ['pip fruit', 'tropical fruit', 'other vegetables', 'root vegetables']=>['whole milk']
 208   0.727        ['other vegetables', 'yogurt', 'root vegetables', 'pastry']=>['whole milk']
 209   0.724        ['herbs', 'citrus fruit']=>['other vegetables']
 210   0.724        ['frankfurter', 'tropical fruit', 'yogurt']=>['whole milk']
 211   0.724        ['shopping bags', 'yogurt', 'root vegetables']=>['other vegetables']
 212   0.722        ['other vegetables', 'yogurt', 'bottled beer']=>['whole milk']
 213   0.722        ['bottled water', 'butter', 'other vegetables']=>['whole milk']
 214   0.722        ['other vegetables', 'yogurt', 'long life bakery product']=>['whole milk']
 215   0.720        ['sugar', 'chicken']=>['whole milk']
 216   0.720        ['curd', 'onions']=>['whole milk']
 217   0.720        ['tropical fruit', 'yogurt', 'hygiene articles']=>['whole milk']
 218   0.720        ['frozen meals', 'other vegetables', 'root vegetables']=>['whole milk']
 219   0.720        ['domestic eggs', 'root vegetables', 'fruit/vegetable juice']=>['whole milk']
 220   0.719        ['frankfurter', 'yogurt', 'root vegetables']=>['whole milk']
 221   0.719        ['curd', 'yogurt', 'pastry']=>['whole milk']
 222   0.716        ['curd', 'butter']=>['whole milk']
 223   0.714        ['domestic eggs', 'sugar']=>['whole milk']
 224   0.714        ['dessert', 'butter milk']=>['whole milk']
 225   0.714        ['roll products', 'rolls/buns']=>['whole milk']
 226   0.714        ['ham', 'frozen vegetables']=>['other vegetables']
 227   0.714        ['long life bakery product', 'butter milk']=>['whole milk']
 228   0.714        ['hard cheese', 'margarine']=>['whole milk']
 229   0.714        ['specialty cheese', 'yogurt']=>['whole milk']
 230   0.714        ['domestic eggs', 'herbs']=>['whole milk']
 231   0.714        ['baking powder', 'root vegetables']=>['other vegetables']
 232   0.714        ['pip fruit', 'tropical fruit', 'frozen meals']=>['whole milk']
 233   0.714        ['curd', 'root vegetables', 'citrus fruit']=>['other vegetables']
 234   0.714        ['pork', 'rolls/buns', 'root vegetables']=>['whole milk']
 235   0.714        ['rolls/buns', 'ham', 'yogurt']=>['whole milk']
 236   0.714        ['rolls/buns', 'citrus fruit', 'whipped/sour cream']=>['whole milk']
 237   0.714        ['tropical fruit', 'yogurt', 'chicken']=>['other vegetables']
 238   0.714        ['tropical fruit', 'white bread', 'yogurt']=>['whole milk']
 239   0.714        ['frozen vegetables', 'fruit/vegetable juice', 'whipped/sour cream']=>['other vegetables']
 240   0.714        ['curd', 'tropical fruit', 'sausage']=>['other vegetables']
 241   0.714        ['pork', 'hamburger meat', 'whole milk']=>['other vegetables']
 242   0.714        ['dessert', 'yogurt', 'whipped/sour cream']=>['whole milk']
 243   0.714        ['sausage', 'root vegetables', 'whipped/sour cream']=>['yogurt']
 244   0.714        ['coffee', 'other vegetables', 'whipped/sour cream']=>['whole milk']
 245   0.714        ['rolls/buns', 'margarine', 'root vegetables']=>['whole milk']
 246   0.714        ['ham', 'other vegetables', 'whipped/sour cream']=>['whole milk']
 247   0.714        ['tropical fruit', 'margarine', 'whipped/sour cream']=>['yogurt']
 248   0.714        ['whole milk', 'tropical fruit', 'soft cheese']=>['yogurt']
 249   0.714        ['processed cheese', 'other vegetables', 'root vegetables']=>['whole milk']
 250   0.714        ['tropical fruit', 'yogurt', 'onions']=>['whole milk']
 251   0.714        ['bottled water', 'other vegetables', 'frozen vegetables']=>['whole milk']
 252   0.714        ['tropical fruit', 'yogurt', 'onions']=>['other vegetables']
 253   0.714        ['pip fruit', 'other vegetables', 'onions']=>['whole milk']
 254   0.714        ['yogurt', 'other vegetables', 'hard cheese']=>['whole milk']
 255   0.714        ['butter', 'root vegetables', 'chicken']=>['whole milk']
 256   0.714        ['cream cheese', 'root vegetables', 'whipped/sour cream']=>['yogurt']
 257   0.714        ['pip fruit', 'dessert', 'yogurt']=>['other vegetables']
 258   0.714        ['tropical fruit', 'bottled water', 'hygiene articles']=>['whole milk']
 259   0.714        ['sugar', 'yogurt', 'whipped/sour cream']=>['whole milk']
 260   0.714        ['curd', 'tropical fruit', 'whipped/sour cream']=>['whole milk']
 261   0.714        ['sliced cheese', 'other vegetables', 'whipped/sour cream']=>['whole milk']
 262   0.714        ['domestic eggs', 'bottled water', 'margarine']=>['whole milk']
 263   0.714        ['curd', 'butter', 'whipped/sour cream']=>['whole milk']
 264   0.714        ['tropical fruit', 'rolls/buns', 'yogurt', 'pastry']=>['whole milk']
 265   0.714        ['other vegetables', 'yogurt', 'butter', 'whipped/sour cream']=>['whole milk']
 266   0.714        ['tropical fruit', 'rolls/buns', 'beef', 'whole milk']=>['other vegetables']
 267   0.714        ['tropical fruit', 'other vegetables', 'yogurt', 'root vegetables']=>['whole milk']
 268   0.714        ['tropical fruit', 'rolls/buns', 'whole milk', 'whipped/sour cream']=>['yogurt']
 269   0.714        ['tropical fruit', 'rolls/buns', 'yogurt', 'whipped/sour cream']=>['whole milk']
 270   0.714        ['tropical fruit', 'yogurt', 'root vegetables', 'citrus fruit']=>['whole milk']
 271   0.711        ['baking powder', 'yogurt']=>['whole milk']
 272   0.711        ['sliced cheese', 'whipped/sour cream']=>['whole milk']
 273   0.710        ['rice', 'root vegetables']=>['other vegetables']
 274   0.710        ['oil', 'yogurt', 'whole milk']=>['other vegetables']
 275   0.708        ['white bread', 'onions']=>['other vegetables']
 276   0.708        ['butter', 'cat food']=>['whole milk']
 277   0.708        ['herbs', 'pip fruit']=>['other vegetables']
 278   0.708        ['pip fruit', 'other vegetables', 'cream cheese']=>['whole milk']
 279   0.708        ['curd', 'yogurt', 'cream cheese']=>['whole milk']
 280   0.708        ['tropical fruit', 'ham', 'yogurt']=>['other vegetables']
 281   0.708        ['curd', 'rolls/buns', 'whipped/sour cream']=>['whole milk']
 282   0.708        ['tropical fruit', 'yogurt', 'long life bakery product']=>['whole milk']
 283   0.708        ['curd', 'yogurt', 'cream cheese']=>['other vegetables']
 284   0.708        ['hamburger meat', 'other vegetables', 'whipped/sour cream']=>['whole milk']
 285   0.708        ['pip fruit', 'tropical fruit', 'brown bread']=>['whole milk']
 286   0.708        ['tropical fruit', 'butter', 'root vegetables', 'whole milk']=>['yogurt']
 287   0.706        ['yogurt', 'root vegetables', 'fruit/vegetable juice']=>['other vegetables']
 288   0.705        ['tropical fruit', 'yogurt', 'whipped/sour cream']=>['whole milk']
 289   0.705        ['tropical fruit', 'other vegetables', 'root vegetables', 'citrus fruit']=>['whole milk']
 290   0.704        ['pork', 'butter']=>['whole milk']
 291   0.704        ['coffee', 'tropical fruit', 'whole milk']=>['yogurt']
 292   0.704        ['tropical fruit', 'ham', 'whole milk']=>['other vegetables']
 293   0.704        ['tropical fruit', 'other vegetables', 'beef', 'root vegetables']=>['whole milk']
 294   0.704        ['tropical fruit', 'root vegetables', 'whole milk', 'whipped/sour cream']=>['other vegetables']
 295   0.702        ['coffee', 'butter']=>['whole milk']
 296   0.700        ['curd', 'yogurt', 'citrus fruit']=>['whole milk']
 297   0.700        ['tropical fruit', 'butter', 'whipped/sour cream']=>['whole milk']
 298   0.700        ['tropical fruit', 'yogurt', 'root vegetables']=>['whole milk']
 299   0.700        ['root vegetables', 'soda', 'citrus fruit']=>['other vegetables']
 300   0.700        ['domestic eggs', 'other vegetables', 'whipped/sour cream']=>['whole milk']
